|              | precision | recall | f1-score | support |
|--------------|-----------|--------|----------|---------|
| A            | 0.90      | 0.94   | 0.92     | 615     |
| B            | 0.90      | 0.95   | 0.92     | 590     |
| C            | 0.99      | 0.99   | 0.99     | 581     |
| D            | 0.97      | 0.99   | 0.98     | 560     |
| E            | 0.91      | 0.88   | 0.89     | 572     |
| F            | 0.95      | 0.97   | 0.96     | 602     |
| G            | 0.97      | 0.94   | 0.96     | 622     |
| H            | 0.96      | 0.97   | 0.97     | 614     |
| I            | 0.93      | 0.92   | 0.92     | 598     |
| J            | 0.97      | 0.95   | 0.96     | 616     |
| K            | 0.90      | 0.92   | 0.91     | 610     |
| L            | 0.96      | 0.99   | 0.98     | 623     |
| M            | 0.86      | 0.91   | 0.88     | 538     |
| N            | 0.93      | 0.91   | 0.92     | 604     |
| O            | 0.97      | 0.95   | 0.96     | 607     |
| P            | 0.95      | 0.98   | 0.96     | 630     |
| Q            | 0.99      | 0.96   | 0.97     | 626     |
| R            | 0.87      | 0.82   | 0.85     | 593     |
| S            | 0.83      | 0.88   | 0.85     | 600     |
| T            | 0.96      | 0.91   | 0.93     | 586     |
| U            | 0.82      | 0.84   | 0.83     | 581     |
| V            | 0.85      | 0.87   | 0.86     | 594     |
| W            | 0.90      | 0.90   | 0.90     | 562     |
| X            | 0.93      | 0.81   | 0.86     | 651     |
| Y            | 0.89      | 0.96   | 0.92     | 576     |
| Z            | 0.98      | 0.96   | 0.97     | 634     |
| del          | 0.96      | 0.96   | 0.96     | 604     |
| nothing      | 1.00      | 1.00   | 1.00     | 606     |
| space        | 0.97      | 0.95   | 0.96     | 605     |
| accuracy     |           |        | 0.93     | 17400   |
| macro avg    | 0.93      | 0.93   | 0.93     | 17400   |
| weighted avg | 0.93      | 0.93   | 0.93     | 17400   |
|              |           |        |          |         |
